,QS-based composition,MLaaS_CS,QualityCategory,model category,Rule-Based AC
0,1,1,0,Minist16,0
1,1,1,0,Minist16,0
2,1,1,0,Minist16,0
3,1,0,0,Minist16,0
4,1,1,0,Minist16,0
5,1,0,0,Minist16,0
6,1,0,0,Minist16,0
7,1,0,0,Minist16,1
8,1,0,0,Minist16,0
9,1,0,0,Minist16,1
10,1,1,0,Minist16,1
11,1,0,0,Minist16,1
12,1,0,0,Minist16,0
13,1,0,0,Minist16,1
14,0,0,0,Minist16,0
15,0,0,0,Minist16,0
16,0,0,0,Minist16,0
17,0,0,0,Minist16,0
18,0,0,0,Minist16,0
19,1,0,0,Minist16,0
20,1,0,0,Minist16,0
21,1,0,0,Minist16,0
22,1,0,0,Minist16,0
23,1,0,0,Minist16,0
24,1,0,0,Minist16,0
25,1,0,0,Minist16,0
26,1,0,0,Minist16,0
27,1,0,0,Minist16,0
28,1,0,0,Minist16,0
29,1,0,0,Minist16,0
30,1,0,0,Minist16,0
31,1,0,0,Minist16,0
32,1,0,0,Minist16,0
33,1,0,0,Minist16,0
34,0,0,0,Minist16,0
35,0,0,0,Minist16,0
36,0,0,0,Minist16,0
37,0,0,0,Minist16,0
38,0,0,0,Minist16,0
39,1,0,0,Minist16,0
40,1,0,0,Minist16,1
41,1,0,0,Minist16,1
42,1,0,0,Minist16,0
43,1,0,0,Minist16,0
44,1,0,0,Minist16,0
45,1,0,0,Minist16,0
46,1,0,0,Minist16,1
47,1,0,0,Minist16,1
48,1,0,0,Minist16,0
49,1,0,0,Minist16,1
50,1,0,0,Minist16,1
51,1,0,0,Minist16,0
52,1,0,0,Minist16,1
53,1,0,0,Minist16,0
54,0,0,0,Minist16,0
55,0,0,0,Minist16,0
56,0,0,0,Minist16,0
57,0,0,0,Minist16,0
58,0,0,0,Minist16,0
59,1,0,0,Minist16,1
60,1,0,0,Minist16,0
61,1,0,0,Minist16,1
62,1,0,0,Minist16,1
63,1,0,0,Minist16,1
64,1,0,0,Minist16,1
65,1,0,0,Minist16,1
66,1,0,0,Minist16,1
67,1,0,0,Minist16,0
68,1,0,0,Minist16,1
69,1,0,0,Minist16,1
70,1,0,0,Minist16,1
71,1,0,0,Minist16,1
72,1,0,0,Minist16,1
73,1,0,0,Minist16,1
74,0,0,0,Minist16,0
75,0,0,0,Minist16,0
76,0,0,0,Minist16,0
77,0,0,0,Minist16,0
78,0,0,0,Minist16,0
79,0,0,0,Minist16,0
80,0,0,0,Minist16,0
81,0,0,0,Minist16,0
82,0,0,0,Minist16,0
83,0,0,0,Minist16,0
84,0,0,0,Minist16,0
85,0,0,0,Minist16,0
86,0,0,0,Minist16,0
87,0,0,0,Minist16,0
88,0,0,0,Minist16,0
89,0,0,0,Minist16,0
90,0,0,0,Minist16,0
91,0,0,0,Minist16,0
92,0,0,0,Minist16,0
93,0,0,0,Minist16,0
94,0,0,0,Minist16,0
95,0,0,0,Minist16,0
96,0,0,0,Minist16,0
97,0,0,0,Minist16,0
98,0,0,0,Minist16,0
99,0,0,0,Minist16,0
100,0,0,0,Minist16,0
101,0,0,0,Minist16,0
102,0,0,0,Minist16,0
103,0,0,0,Minist16,0
104,0,0,0,Minist16,0
105,0,0,0,Minist16,0
106,0,0,0,Minist16,0
107,0,0,0,Minist16,0
108,0,0,0,Minist16,0
109,0,0,0,Minist16,0
110,0,0,0,Minist16,0
111,0,0,0,Minist16,0
112,0,0,0,Minist16,0
113,0,0,0,Minist16,0
114,0,0,0,Minist16,0
115,0,0,0,Minist16,0
116,0,0,0,Minist16,0
117,0,0,0,Minist16,0
118,0,0,0,Minist16,0
119,0,1,0,Minist16,0
120,0,0,0,Minist16,0
121,0,0,0,Minist16,0
122,0,1,0,Minist16,0
123,0,1,0,Minist16,0
124,0,0,0,Minist16,0
125,0,0,0,Minist16,0
126,0,1,0,Minist16,0
127,0,1,0,Minist16,0
128,1,1,1,Minist32,1
129,1,1,1,Minist32,1
130,1,1,1,Minist32,1
131,1,1,1,Minist32,1
132,1,1,1,Minist32,1
133,1,1,1,Minist32,1
134,1,1,1,Minist32,1
135,1,1,1,Minist32,1
136,1,1,1,Minist32,1
137,1,1,1,Minist32,1
138,1,1,1,Minist32,0
139,1,1,1,Minist32,0
140,1,1,1,Minist32,1
141,1,1,1,Minist32,1
142,1,1,1,Minist32,1
143,1,1,1,Minist32,1
144,1,1,1,Minist32,1
145,1,1,1,Minist32,1
146,1,1,1,Minist32,1
147,1,1,1,Minist32,1
148,1,1,1,Minist32,1
149,1,1,1,Minist32,1
150,1,1,1,Minist32,1
151,1,1,1,Minist32,1
152,1,1,1,Minist32,1
153,1,1,1,Minist32,1
154,1,1,1,Minist32,1
155,1,1,1,Minist32,1
156,1,1,1,Minist32,1
157,1,1,1,Minist32,1
158,1,1,1,Minist32,1
159,1,1,1,Minist32,1
160,1,1,1,Minist32,1
161,1,1,1,Minist32,1
162,1,1,1,Minist32,1
163,1,1,1,Minist32,1
164,1,1,1,Minist32,1
165,1,1,1,Minist32,1
166,1,1,1,Minist32,1
167,1,1,1,Minist32,1
168,1,1,1,Minist32,1
169,1,1,1,Minist32,1
170,1,1,1,Minist32,1
171,1,1,1,Minist32,1
172,1,1,1,Minist32,1
173,1,1,1,Minist32,1
174,1,1,1,Minist32,1
175,1,1,1,Minist32,1
176,1,1,1,Minist32,1
177,1,1,1,Minist32,1
178,1,1,1,Minist32,1
179,1,1,1,Minist32,1
180,1,1,1,Minist32,1
181,1,0,1,Minist32,1
182,1,1,1,Minist32,1
183,1,1,1,Minist32,1
184,1,1,1,Minist32,1
185,1,1,1,Minist32,1
186,1,1,1,Minist32,1
187,1,1,1,Minist32,1
188,1,1,1,Minist32,1
189,1,1,1,Minist32,1
190,1,1,1,Minist32,1
191,1,1,1,Minist32,1
192,1,1,1,Minist32,1
193,1,1,1,Minist32,1
194,0,0,0,Minist32,0
195,1,1,1,Minist32,1
196,1,1,1,Minist32,1
197,1,1,1,Minist32,1
198,1,1,1,Minist32,1
199,1,1,1,Minist32,1
200,1,1,1,Minist32,1
201,1,0,0,Minist32,1
202,1,0,1,Minist32,1
203,1,1,1,Minist32,1
204,1,1,1,Minist32,1
205,1,1,1,Minist32,1
206,1,0,0,Minist32,0
207,0,1,0,Minist32,0
208,1,1,1,Minist32,0
209,1,1,1,Minist32,1
