,DUM,SUM,HQS,SRS,MUM,Client,model category,Composability_Score,Service_ID,Feature_Vector
0,1,1,1,1,1,client_2,Minist16,1,1,[0.5959596  0.52944525 0.76673961 0.02686627]
1,1,1,1,1,1,client_20,Minist16,1,2,[0.5959596  0.60678892 0.78422994 0.02559527]
2,1,1,0,1,1,client_6,Minist16,1,3,[0.5959596  0.80316664 0.74489667 0.0243392 ]
3,1,0,0,1,1,client_10,Minist16,0,4,[0.5959596  0.83073245 0.77752133 0.0471655 ]
4,1,1,0,1,1,client_11,Minist16,1,5,[0.5959596  0.82560661 0.77476602 0.03912714]
5,1,1,0,1,0,client_17,Minist16,0,6,[0.5959596  0.78220758 0.73934609 0.02260551]
6,1,1,0,1,0,client_20,Minist16,0,7,[0.5959596  0.81934164 0.78422994 0.02537034]
7,1,1,0,1,0,client_3,Minist16,0,8,[0.5959596  0.89292632 0.77213048 0.04040264]
8,1,0,0,1,0,client_6,Minist16,0,9,[0.5959596  0.89463496 0.74489667 0.09302075]
9,1,1,0,1,0,client_7,Minist16,0,10,[0.5959596  0.87151156 0.76298597 0.0248802 ]
10,1,1,0,1,1,client_8,Minist16,1,11,[0.5959596  0.87299241 0.79061912 0.03967762]
11,1,0,0,1,1,client_11,Minist16,0,12,[0.5959596  0.89144554 0.77476602 0.04207808]
12,1,0,0,1,1,client_12,Minist16,0,13,[0.5959596  0.89076204 0.76961473 0.06117743]
13,1,0,0,1,1,client_13,Minist16,0,14,[0.5959596  0.86911949 0.78387056 0.04654477]
14,1,1,0,0,0,client_1,Minist16,0,15,[0.19191919 0.17439345 0.55074596 0.01288323]
15,0,1,0,0,0,client_2,Minist16,0,16,[0.12525253 0.09659414 0.40475353 0.00576971]
16,0,1,0,0,0,client_3,Minist16,0,17,[0.02020202 0.03132476 0.11324793 0.0010925 ]
17,0,1,0,0,0,client_4,Minist16,0,18,[0.         0.         0.13193625 0.        ]
18,0,1,0,0,0,client_5,Minist16,0,19,[0.09090909 0.0333751  0.05866051 0.00612072]
19,0,0,1,0,0,client_6,Minist16,0,20,[0.76606061 0.56988272 0.68863211 0.04218641]
20,0,1,0,0,0,client_7,Minist16,0,21,[0.76606061 0.64107534 0.71227199 0.03867981]
21,0,0,1,1,0,client_8,Minist16,0,22,[0.76606061 0.58423509 0.7505271  0.04287305]
22,0,1,0,0,0,client_9,Minist16,0,23,[0.76606061 0.46428978 0.69681819 0.03483272]
23,0,1,1,1,0,client_10,Minist16,0,24,[0.76606061 0.61009226 0.73978532 0.03551315]
24,0,1,1,0,0,client_11,Minist16,0,25,[0.76606061 0.54687325 0.70188961 0.03519207]
25,0,1,1,1,0,client_12,Minist16,0,26,[0.76606061 0.62455862 0.74565537 0.03355962]
26,0,1,1,1,0,client_13,Minist16,0,27,[0.76606061 0.63150702 0.78962084 0.03481797]
27,0,1,0,1,0,client_14,Minist16,0,28,[0.76606061 0.65269393 0.73671055 0.03907548]
28,0,0,1,1,0,client_15,Minist16,0,29,[0.76606061 0.61931886 0.74453729 0.04380434]
29,0,0,1,1,0,client_16,Minist16,0,30,[0.76606061 0.52910354 0.75587804 0.04226431]
30,0,0,0,1,0,client_17,Minist16,0,31,[0.76606061 0.52056043 0.75607771 0.04216796]
31,0,1,1,1,0,client_18,Minist16,0,32,[0.76606061 0.5672628  0.74473694 0.03309441]
32,0,1,1,1,0,client_19,Minist16,0,33,[0.76606061 0.52819226 0.73659074 0.0319579 ]
33,0,1,1,0,0,client_20,Minist16,0,34,[0.76606061 0.59129741 0.72301377 0.03440658]
34,1,1,1,0,0,client_1,Minist16,0,35,[0.19191919 0.63606336 0.55074596 0.01051646]
35,0,1,0,0,0,client_2,Minist16,0,36,[0.12525253 0.38330106 0.40475353 0.00623127]
36,0,1,0,0,0,client_3,Minist16,0,37,[0.02020202 0.03234992 0.11324793 0.00186305]
37,0,1,0,0,0,client_4,Minist16,0,38,[0.         0.14432169 0.13193625 0.00107938]
38,0,1,0,0,0,client_5,Minist16,0,39,[0.09090909 0.0333751  0.05866051 0.0071301 ]
